aa198;Special Topics in Aeronautics and Astronautics
aa210;Engineering Statics
aa260;Thermodynamics
aa299;Undergraduate Research
aa301;Compressible Aerodynamics
aa302;Incompressible Aerodynamics
aa310;Orbital and Space Flight Mechanics
aa311;Atmospheric Flight Mechanics
aa312;Structural Vibrations
aa320;Aerospace Instrumentation
aa321;Aerospace Laboratory I
aa322;Aerospace Laboratory II
aa331;Aerospace Structures I
aa332;Aerospace Structures II
aa360;Propulsion
aa400;Gas Dynamics
aa402;Fluid Mechanics
aa405;Introduction to Aerospace Plasmas
aa410;Aircraft Design I
aa411;Aircraft Design II
aa419;Aerospace Heat Transfer
aa420;Spacecraft and Space Systems Design I
aa421;Spacecraft and Space System Design II
aa430;Finite Element Analysis in Aerospace
aa432;Composite Materials for Aerospace Structures
aa440;Flight Mechanics I
aa441;Flight Test Engineering
aa447;Control in Aerospace Systems
aa448;Control Systems Sensors and Actuators
aa449;Design of Automatic Control Systems
aa461;Advanced Air Breathing Propulsion
aa462;Rocket Propulsion
aa470;Systems Engineering
aa480;Systems Dynamics
aa496;Undergraduate Seminar
aa498;Special Topics
aa499;Undergraduate Research
aa501;Physical Gasdynamics I
aa503;Continuum Mechanics
aa504;Compressible Fluid Mechanics
aa506;Vortex-Dominated Flows
aa507;Fluid Mechanics
aa508;Turbulence
aa510;Mathematical Foundations of Systems Theory
aa513;Gas Laser Theory and Practice
aa516;Stability and Control of Flight Vehicles
aa518;Automatic Control of Flight Vehicles
aa523;Special Topics in Fluid Physics
aa524;Aeroacoustics
aa525;Special Topics in Advanced Airbreathing Engines
aa527;Space Power Systems
aa528;Spacecraft Dynamics and Control
aa529;Space Propulsion
aa530;Mechanics of Solids
aa531;Integrity of Metallic Aircraft Structures
aa532;Mechanics of Composite Materials
aa533;Materials and Processing Technology of Aerospace Composites
aa534;Integrity of Composite Aircraft Structures
aa535;Advanced Composite Structural Analysis
aa538;Introduction to Structural Optimization
aa540;Finite Element Analysis I
aa541;Finite Element Analysis II
aa543;Computational Fluid Dynamics
aa544;Turbulence Modeling and Simulation
aa545;Computational Methods for Plasmas
aa546;Advanced Topics in Control System Theory
aa547;Linear Systems Theory
aa548;Linear Multivariable Control
aa549;State Estimation and Kalman Filtering
aa550;Nonlinear Optimal Control
aa553;Vibrations of Aerospace Systems
aa554;Aeroelasticity
aa556;Space and Laboratory Plasma Physics
aa557;Physics of Fusion Plasmas
aa558;Plasma Theory
aa559;Plasma Science Seminar
aa560;Plasma Diagnostics
aa564;Kinetic Theory/Radiative Transfer
aa565;Fusion Reactor Fundamentals
aa570;Manifolds and Geometry for Systems and Control
aa571;Principles of Dynamics I
aa578;Optimization in System Sciences
aa580;Geometric Methods for Non-Linear Control Systems
aa581;Digital Control
aa582;Introduction to Discrete Event Systems
aa583;Nonlinear Control Systems
aa585;System Identification and Adaptive Control
aa589;Special Topics in Solid Mechanics
aa591;Robotics and Control Systems Colloquium
aa593;Feedforward Control
aa594;Robust Control
aa595;Global Integrated Systems Engineering
aa596;Global Integrated Systems Engineering Project
aa597;Networked Dynamics Systems
aa598;Special Topics in Aeronautics and Astronautics
aa599;Special Projects
aa600;Independent Study or Research
aa700;Master's Thesis
aa800;Doctoral Dissertation
aas101;Introduction to Asian American Cultures
aas206;Contemporary Problems of Asian Americans
aas210;Asian-American Identity
aas220;Asian-American Stereotypes in the Media
aas250;Asian American Oral History
aas300;U.S. Pacific Islander Contemporary Culture
aas314;Ethnography. Transnationalsim. and Community in Island Southeast Asia/Asian American
aas320;Hawaii's Literatures
aas330;Asian American Theater
aas350;Chinese American History and Culture
aas360;Filipino-American History and Culture
aas370;Japanese-American History and Culture
aas372;Internment Camps in North America: United States and Canada
aas380;Asian-American Communities and Social Policies
aas385;Asian Americans: The Law and Immigration
aas392;Asian-American Women
aas395;Southeast-Asian Americans: History and Culture
aas401;Asian-American Literature to the 1940s
aas402;Contemporary Asian-American Literature
aas403;Survey of Asian-American Poetry
aas406;Asian American Activism
aas498;Special Topics
aas499;Undergraduate Independent Study
acctg199;Accounting for Problem Solving
acctg215;Introduction to Accounting and Financial Reporting
acctg225;Fundamentals of Managerial Accounting
acctg275;Accounting and Finance Essentials
acctg301;Intermediate Accounting I
acctg302;Intermediate Accounting II
acctg303;Intermediate Accounting III
acctg311;Cost Accounting
acctg320;Introduction to Accounting Information Systems
acctg321;Tax Effects of Business Decisions
acctg375;Topics in Financial Reporting
acctg411;Auditing Standards and Principles
acctg420;Database Management for Accounting
acctg440;Accounting and Financial Management Decisions
acctg450;Business Taxation
acctg451;Individual Income Taxation
acctg460;Advanced Cost Accounting
acctg480;Accounting for Not-for-Profit Organizations
acctg485;Advanced Financial Accounting
acctg490;Special Topics in Accounting
acctg495;Accounting Internship
acctg499;Undergraduate Research
acctg500;Financial Accounting
acctg501;Managerial Accounting
acctg503;Introduction to Accounting for Managers
acctg505;Intensive Analysis of Accounting Principles and Practices
acctg506;Intensive Analysis of Accounting Principles and Practices 1
acctg507;Intensive Analysis of Accounting Principles and Practices 2
acctg508;Intensive Analysis of Accounting Principles and Practices 3
acctg510;Introduction to Financial Statement Analysis
acctg511;Advanced Financial Statement Analysis
acctg513;Tax Effects of Business Decisions
acctg515;Problems in Managerial and Cost Accounting
acctg521;Cases and Issues in Information Quality and Assurance Services
acctg523;Advanced Financial Analysis
acctg524;Individual Taxation
acctg525;Business and International Taxation
acctg526;Principles of Taxation for Auditors
acctg527;Communications in Professional Accounting
acctg528;Communication. Marketing. and Interpersonal Skills for Auditors
acctg529;Business Ethics and Law for Accountants
acctg530;Tax Issues in Property Ownership
acctg531;Timing and Periods of Taxation
acctg533;Procedural and Policy Issues
acctg534;Fundamentals of Corporate Taxation
acctg535;Advanced Issues in Corporate Taxation
acctg536;Advanced Issues in Corporate Taxation
acctg537;Income Taxation of Conduits I
acctg538;Income Taxation of Conduits II
acctg539;Tax Research and Decision Making
acctg540;Communications for Taxation Professionals I
acctg541;Communications for Taxation Professionals
acctg542;Communications for Taxation Professionals III
acctg543;Income Taxation of Trusts and Estates
acctg547;Estate and Gift Taxation
acctg548;Speaker Forum Tax
acctg549;Tax Planning
acctg564;Governmental Accounting
acctg566;Issues in International Accounting
acctg575;Internship
acctg576; Independent Research Project Proposal
acctg577;Independent Research Project Proposal
acctg579;Special Topics in Accounting
acctg580;Doctoral Seminar: Introduction to Accounting Research
acctg581;Doctoral Seminar in Managerial Accounting
acctg596;Doctoral Seminar in Financial Accounting Research
acctg597;Doctoral Seminar in Managerial Accounting Research
acctg599;Doctoral Seminar in Accounting
acctg600;Independent Study or Research
admin510;Fundamentals of Business Administration
aes150;Introductory History of American Ethnic Groups
aes151;Introduction to the Cultures of American Ethnic Groups
aes211;Environmental Justice
aes212;Comparative American Ethnic Literature
aes250;Race in the American University
aes322;Gender. Race. and Class in Social Stratification
aes330;Beyond Civil Rights: Law. Culture. and Change
aes333;Race and Ethnicity in the U.S. Military
aes335;Sports and Social Change in the Twentieth Century
aes340;Race. Ethnicity. and Education
aes361;Ethnicity. Business. Unions. and Society
aes389;Race. Gender. and Sexuality in the Media
aes446;Music in American Cultures
aes461;Comparative Ethnic Race Relations in the Americas
aes462;Comparative Race and Ethnic Relations
aes487;Cultures and Politics of Environmental Justice
aes489;Black Cultural Studies
aes490;Representing Beyond the Binaries: Mixing Race. Gender. and Sexuality in the Media
aes494;Community Practicum and Internship
aes496;Honors Senior Thesis
aes498;Special Topics in American Ethnic Studies
aes499;Independent Study or Research
afram101;Introduction to African American Studies
afram150;Introduction to African-American History
afram214;Survey of Afro-American Literature
afram220;African American Film Studies
afram246;African American Politics
afram260;African American Family
afram261;The African-American Experience Through Literature
afram270;The Jazz Age
afram272;History of the South Since the Civil War
afram315;Black Identities and Political Power
afram318;Black Literary Genres
afram320;Black Women in Drama
afram321;History of Afro-American Women and the Feminist Movement
afram330;Music. Folklore. and Performance in Black Society
afram334;The Sixties in America: Conflict. Confrontation. and Concession
afram337;Music and Social Change in the Sixties Era
afram340;The Harlem Renaissance: A Literary Study
afram350;The Black Aesthetic
afram358;Literature of Black Americans
afram370;Afro-American Political Thought
afram437;Blacks in American Law
afram498;Special Topics in African American Studies
afram499;Independent Study and Research
ais102;Survey of American Indian Studies
ais110;Musical Traditions of Native North America
ais151;Indian Art of Northwest Coast
ais170;Survey of North American Indian Art
ais201;Introduction to American Indian Histories
ais202;Introduction to Contemporary Experience in Indian America
ais203;Introduction: Philosophical and Aesthetic Universes
ais230;Contemporary Indian Gaming and Casinos
ais240;Native North American Women
ais253;Wood Design
ais270;Native Peoples of the Pacific Northwest
ais271;Native Peoples of the Intermountain West
ais272;Native Peoples of the Southeast
ais309;Methods in Amerindian Linguistics
ais310;A Linguistic Approach to Culture
ais317;North American Indians: The Southwest
ais320;Changing Rivers of Puget Sound
ais330;United States-Indian Relations
ais331;American Indian History I to 1840
ais332;American Indian History II Since 1840
ais335;American Indians and the Law
ais340;Indian Children and Families
ais341;Native Women in the Americas
ais350;Two-Dimensional Art of the Northwest Coast Indians
ais360;American Indians in Cinema
ais370;Researching Indians' History
ais376;First Nations Literature
ais377;Contemporary American Indian Literature
ais378;Contemporary American Indian Literature: A Northwest Focus
ais379;Powwow: Tradition and Innovation
ais425;Indians in Western Washington History
ais431;History of American Indian Education
ais435;Spiritual Encounters: Native Spirituality in the Contact Era
ais440;Reading Native American Women's Lives
ais441;Gender in Native American Societies
ais442;Images of Natives in the Cinema and Popular Cultures
ais443;Indigenous Films. Sovereign Visions
ais444;Criminality and Deviance in Native Communities
ais446;American Indian Economic History
ais451;Critical Conversations in American Indian Studies
ais461;First Nations Government and Politics in Canada
ais465;First Nations Filmmaking in Canada
ais466;Producing the Documentary Short
ais475;Special Topics in Indian Studies
ais498;Senior Project
ais499;Independent Study
ais501;Documentary Film/Video Research Methods in Native Communities
ais503;Documentary Theory. Form. and Practice
ais590;Special Topics
amath301;Beginning Scientific Computing
amath351;Introduction to Differential Equations and Applications
amath352;Applied Linear Algebra and Numerical Analysis
amath353;Fourier Analysis and Partial Differential Equations
amath383;Introduction to Continuous Mathematical Modeling
amath401;Vector Calculus and Complex Variables
amath402;Introduction to Dynamical Systems and Chaos
amath403;Methods for Partial Differential Equations
amath422;Computational Modeling of Biological Systems
amath423;Mathematical Analysis in Biology and Medicine
amath424;Mathematical Biology: Spatiotemporal Models
amath481;Scientific Computing
amath482;Computational Methods for Data Analysis
amath483;High-Performance Scientific Computing
amath490;Special Topics
amath498;Senior Project or Thesis
amath499;Undergraduate Reading and Research
amath500;Special Studies in Applied Mathematics
amath501;Vector Calculus and Complex Variables
amath502;Introduction to Dynamical Systems and Chaos
amath503;Methods for Partial Differential Equations
amath504;Mathematical Epidemiology
amath505;Introduction to Fluid Dynamics
amath506;Applied Probability Statistics
amath507;Calculus of Variations
amath512;Methods of Engineering Analysis
amath514;Networks and Combinatorial Optimization
amath515;Fundamentals of Optimization
amath516;Numerical Optimization
amath521;Special Topics in Mathematical Biology
amath522;Introduction to Mathematical Biology
amath523;Mathematical Analysis in Biology and Medicine
amath524;Mathematical Biology: Spatiotemporal Models
amath531;Mathematical Theory of Cellular Dynamics
amath532;Mathematics of Genome Analysis and Molecular Modeling
amath533;Neural Control of Movement: A Computational Perspective
amath535;Mathematical Ecology
amath536;Spatial Models in Ecology and Epidemiology
amath540;Introduction to Computational Finance and Financial Econometrics
amath541;Investment Science
amath542;Financial Data Modeling and Analysis in R
amath543;Portfolio Optimization and Asset Management
amath545;Financial Risk Management I
amath546;Financial Risk Management II
amath547;Credit Risk Management
amath548;Monte Carlo Methods in Finance
amath551;Introduction to Trading Systems
amath552;Portfolio Performance Analysis and Benchmarking
amath553;Financial Time Series Forecasting Methods
amath554;Endowment and Institutional Investment Management
amath555;Optimization Methods in Finance
amath567;Applied Analysis
amath568;Advanced Methods for Ordinary Differential Equations
amath569;Advanced Methods for Partial Differential Equations
amath570;Asymptotic and Perturbation Methods
amath572;Introduction to Applied Stochastic Analysis
amath573;Coherent Structures. Pattern Formation and Solitons
amath574;Conservation Laws and Finite Volume Methods
amath575;Dynamical Systems
amath579;Intelligent Control through Learning and Optimization
amath581;Scientific Computing
amath582;Computational Methods for Data Analysis
amath583;High-Performance Scientific Computing
amath584;Applied Linear Algebra and Introductory Numerical Analysis
amath585;Numerical Analysis of Boundary Value Problems
amath586;Numerical Analysis of Time Dependent Problems
amath600;Independent Research or Study
amath700;Master's Thesis
amath800;Doctoral Dissertation
anest498;Undergraduate Thesis
anest499;Undergraduate Research
anest501;P-Preceptorship in Anesthesiology
anest650;P-Pain Medicine Clerkship
anest665;P-Basic Anesthesia Clerkship - Anchorage
anest667;P-Basic Anesthesia Clerkship - Billings
anest668;P-Basic Anesthesia Clerkship - Missoula
anest671;P-Basic Anesthesia Clerkship - Boise
anest674;P-Basic Anesthesia Clerkship - Spokane
anest677;P-Basic Anesthesia Clerkship - Swedish
anest678;P-Basic Anesthesia Clerkship - VA
anest679;P-Basic Anesthesia Clerkship - HMC
anest680;P-Basic Anesthesia Clerkship - UWMC
anest681;P-Advanced Clerkship in Anesthesiology - UWMC
anest682;P-Advanced Clerkship in Anesthesia - HMC
anest697;P-Anesthesiology Special Electives
anest699;P-WWAMI Anesthesiology Special Electives
anth100;Introduction to Anthropology
anth101;Exploring Sociocultural Anthropology
anth150;Culture and Rights: Exploring the Meaning and Practice of Human Rights
anth202;Principles of Sociocultural Anthropology
anth203;Introduction to Anthropological Linguistics
anth204;Reading Ethnography
anth206;The Cultural Animal
anth207;Class and Culture in America
anth208;The Culture Concept
anth209;Anthropology Through Visual Media
anth210;Introduction to Environmental Anthropology
anth211;Environmental Justice
anth212;The Cultural Politics of Diet and Nutrition
anth215;Introduction to Medical Anthropology and Global Health
anth228;Identities: Race. Class. Gender. and Sexuality in Anthropology
anth233;Introduction to Language and Society
anth269;Special Topics in Anthropology
anth274;Labor. Identity. and Knowledge in Healthcare
anth289;Identities: Service Learning
anth301;Human Nature and Culture
anth305;Anthropology of the Body
anth306;The Power of Representation: Pacific Islander Voices
anth307;U.S. Pacific Islander Contemporary Culture
anth310;Native North American Societies
anth312;Pacific Islands Literature
anth313;Peoples of Africa
anth314;Ethnography. Transnationalism. and Community in Island Southeast Asia/Asian American
anth315;Southeast Asian Civilization: Buddhist and Vietnamese
anth316;Modern South Asia
anth317;Anthropology of Tibetan Civilization
anth318;Peoples and Cultures of the Islamic Middle East
anth321;Comparative Religion
anth322;Comparative Study of Death
anth323;Human Rights Law in Culture and Practice
anth324;Culture and Politics of Africa
anth330;Religion. Identity. and Cultural Pluralism
anth331;Native Art of the Pacific Northwest Coast
anth339;Social Movements in Contemporary India
anth341;Political Violence and the Post-Colonial State in South Asia
anth345;Women and International Economic Development
anth349;Dance/Performance Ethnography
anth352;Buddhism and Society: The Theravada Buddhist Tradition in South and Southeast Asia
anth353;Anthropological Studies of Women
anth356;Visual Anthropology
anth358;Culture and Cognition
anth359;Linguistic Ethnography
anth360;Anthropology of Popular Culture
anth361;Anthropology of Food
anth362;Anthropology of Tourism
anth368;Mythical Figures and Cultural Formations
anth369;Special Problems in Anthropology
anth370;Han Chinese Society and Culture
anth371;Anthropology of Development
anth374;Narrative. Literature. and Medical Anthropology
anth375;Comparative Systems of Healing
anth379;Prisons in Anthropological Perspective
anth399;Junior Honors Seminar
anth404;South America
anth406;China's Environment
anth407;Global Futures in East Asia
anth411;The Culture and Politics of Food: Study Abroad in Italy
anth412;South Asian Social Structure
anth414;Applied and Public Anthropology
anth415;Anthropology and International Health
anth416;Comparative Social Movements: Mexico and the United States
anth418;Indian Heritage of Mexico and Central America
anth420;The Social Life of Psychiatry
anth421;Belief. Ritual. and the Structure of Religion
anth422;Peoples and Cultures of Central and Inner Asia
anth423;Traffic Across Cultural Boundaries
anth424;Hunter-Gatherer Societies
anth425;Anthropology of the Post-Soviet States
anth427;Anthropology in Urban Settings
anth428;Anthropological Perspectives on Ethnicity
anth429;Expressive Culture
anth430;The Anthropology of Music
anth432;Sociolinguistics I
anth433;Sociolinguistics II
anth435;Economic Anthropology
anth436;Comparative Family Organization
anth437;Political Anthropology and Social Change
anth438;The Analysis of Kinship Systems
anth439;Pidgin and Creole Languages
anth442;Global Asia
anth443;Anthropology of Modern Japan
anth444;Politics of Representation in Modern China
anth445;Literature and Society in Southeast Asia
anth446;Class and Culture in East Asia
anth447;Anthropology of Chinese Religion
anth448;Modern Korean Society
anth449;Social Transformation of Modern East Asia
anth450;Language and Gender
anth452;Explorations in Biopower
anth454;Women. Words. Music. and Change
anth455;Areal Linguistics
anth456;Contemporary Ethnography
anth457;Ecological Anthropology
anth458;Ethnobiology: Plants. Animals. and People
anth459;Culture. Ecology. and Politics
anth460;History of Anthropology
anth461;Historical Ecology
anth464;Language Politics and Cultural Identity
anth465;Critical Anthropology of Mass Culture
anth466;Anthropology Honors Thesis
anth467;Anthropology of Education
anth469;Special Studies in Anthropology
anth470;Minority Peoples of China
anth471;Colonialism and Culture
anth472;Case Studies in Medical Anthropology and Global Health
anth473;Anthropology of Science and Technology
anth474;Social Difference and Medical Knowledge
anth475;Perspectives in Medical Anthropology
anth476;Culture. Medicine. and the Body
anth477;Medicine in America: Conflicts and Contradictions
anth478;Introduction to the Anthropology of Institutions
anth479;Advanced Topics in Medical Anthropology
anth483;Africa Living with HIV/AIDS
anth484;Motherhood: Ideologies and Technologies
anth486;Human Family Systems: Biological and Social Aspects
anth487;Cultures and Politics of Environmental Justice
anth488;Agroecology
anth489;Anthropology Practicum
anth491;Honors Colloquium
anth495;Advanced Problems in Ethnology
anth497;Domesticating International Human Rights: Perspectives on U.S. Asylum and Refugee Law
anth498;Women's Rights and Politics in Islamic Society
anth499;Undergraduate Research
anth500;Preceptorial Reading
anth503;Preceptorial Reading in Linguistic Anthropology
anth507;Current Issues in Sociocultural Anthropology
